offence_group,ucr_code,violation,region,year,incidents,incidents_per_100k,base_year,index
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2001,100,0.84,1998,62.222222222222214
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2002,121,1,1998,74.07407407407408
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2003,121,0.99,1998,73.33333333333333
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2004,128,1.03,1998,76.29629629629629
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2005,131,1.05,1998,77.77777777777779
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2006,135,1.07,1998,79.25925925925927
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2007,129,1.01,1998,74.81481481481481
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2008,111,0.86,1998,63.703703703703695
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2009,138,1.06,1998,78.51851851851852
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2010,150,1.14,1998,84.44444444444443
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2011,161,1.21,1998,89.62962962962962
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2012,160,1.19,1998,88.14814814814814
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2013,140,1.04,1998,77.03703703703704
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2014,130,0.95,1998,70.37037037037037
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2015,134,0.98,1998,72.59259259259258
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2016,145,1.04,1998,77.03703703703704
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2017,150,1.07,1998,79.25925925925927
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2018,176,1.23,1998,91.1111111111111
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2019,216,1.48,1998,109.6296296296296
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2020,249,1.69,1998,125.18518518518518
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2021,244,1.64,1998,121.48148148148145
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2022,268,1.77,1998,131.11111111111111
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2023,288,1.84,1998,136.2962962962963
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2024,317,1.96,1998,145.18518518518516
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Ontario,2025,337,2.07,1998,153.33333333333331
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,1998,2,0.46,1998,100
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,1999,5,1.14,1998,247.8260869565217
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2000,2,0.45,1998,97.82608695652173
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2001,1,0.22,1998,47.826086956521735
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2002,2,0.43,1998,93.4782608695652
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2003,1,0.21,1998,45.65217391304348
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2004,1,0.21,1998,45.65217391304348
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2005,1,0.2,1998,43.47826086956522
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2006,1,0.2,1998,43.47826086956522
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2007,6,1.19,1998,258.69565217391306
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2008,3,0.59,1998,128.26086956521738
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2009,5,0.98,1998,213.04347826086953
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2010,1,0.19,1998,41.30434782608695
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2011,7,1.34,1998,291.30434782608694
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2012,2,0.38,1998,82.6086956521739
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2013,0,0,1998,0
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2014,5,0.93,1998,202.17391304347828
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2015,0,0,1998,0
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2016,2,0.36,1998,78.26086956521738
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2017,4,0.71,1998,154.3478260869565
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2018,4,0.69,1998,149.99999999999997
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2019,10,1.68,1998,365.2173913043478
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2020,10,1.65,1998,358.695652173913
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2021,14,2.28,1998,495.6521739130434
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2022,12,1.88,1998,408.695652173913
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2023,13,1.92,1998,417.39130434782606
Sexual offences,1320,Sexual assault with a weapon or causing bodily harm,Region,2024,21,2.96,1998,643.4782608695651
